IP,Organization,Services
35.80.181.191,Amazon Technologies Inc.,HTTP(80) - HTTP(443)
52.10.113.65,Amazon Technologies Inc.,HTTP(80) - HTTP(443)
44.239.87.121,American Registry for Internet Numbers,HTTP(80) - HTTP(443)
35.84.159.133,Amazon Technologies Inc.,HTTP(80) - HTTP(443)
51.81.223.254,OVH US LLC,SSH(22) - HTTP(80) - HTTP(443) - HTTP(888) - HTTP(7800)
44.238.193.9,American Registry for Internet Numbers,HTTP(80)
52.11.94.107,Amazon Technologies Inc.,HTTP(80)
54.184.13.242,"Amazon.com, Inc.",HTTP(80) - HTTP(443)
52.32.204.99,Amazon Technologies Inc.,SSH(22) - HTTP(80) - HTTP(443)
34.213.37.111,American Registry for Internet Numbers,HTTP(80) - HTTP(443) - HTTP(8089)
52.11.192.228,Amazon Technologies Inc.,HTTP(80) - HTTP(443)
52.26.40.224,Amazon Technologies Inc.,HTTP(80) - HTTP(443)
35.166.4.185,"Amazon.com, Inc.",HTTP(80) - HTTP(443)
34.209.199.249,American Registry for Internet Numbers,HTTP(80) - HTTP(443)
44.234.4.97,American Registry for Internet Numbers,HTTP(80) - HTTP(443)
